jobCd,jobNm,jobLrclNm,holland_R,holland_I,holland_A,holland_S,holland_E,holland_C,holland_top3
K000000824,번역가,예술·디자인·방송·스포츠직,1.28,1.95,2.88,2.21,1.81,2.52,ACS
K000001029,영상시나리오작가,예술·디자인·방송·스포츠직,1.55,2.32,3.6,2.69,2.49,2.94,ACS
K000001051,통역가,예술·디자인·방송·스포츠직,1.83,2.42,2.8,3.12,2.66,3.06,SCA
K000001169,방송작가,예술·디자인·방송·스포츠직,1.89,2.1,3.33,2.92,2.45,2.7,ASC
K000001198,출판물기획자,예술·디자인·방송·스포츠직,2.01,2.65,3.78,3.02,3.09,3.11,ACE
K000007572,소설가,예술·디자인·방송·스포츠직,1.5,2.45,3.35,2.77,2.48,2.94,ACS
K000000937,신문기자,예술·디자인·방송·스포츠직,1.51,2.32,2.93,2.76,2.72,2.76,ASC
K000000966,잡지기자,예술·디자인·방송·스포츠직,1.71,2.48,3.5,2.81,2.72,2.87,ACS
K000001222,방송기자,예술·디자인·방송·스포츠직,2.13,2.69,3.35,3.23,3.11,3.11,ASE
K000001019,학예사(큐레이터),예술·디자인·방송·스포츠직,2.22,2.47,3.42,2.67,2.53,2.93,ACS
K000001100,기록물관리사(기록물관리전문요원),예술·디자인·방송·스포츠직,1.92,2.1,2.43,2.28,2.14,2.68,CAS
K000001119,문화재보존원(컨서베이터),예술·디자인·방송·스포츠직,2.46,2.48,2.52,2.27,2.26,2.59,CAI
K000007532,사서,예술·디자인·방송·스포츠직,1.54,2.2,2.37,2.52,2.17,2.83,CSA
K000000851,지휘자,예술·디자인·방송·스포츠직,1.45,1.94,3.0,2.92,2.37,2.37,ASE
K000001007,사진기자 및 사진사,예술·디자인·방송·스포츠직,2.52,2.17,3.05,2.39,2.36,2.63,ACR
K000001089,가수,예술·디자인·방송·스포츠직,1.96,2.05,3.17,2.71,2.51,2.65,ASC
K000001110,국악인,예술·디자인·방송·스포츠직,1.73,1.94,2.78,2.42,2.17,2.35,ASC
